Unnamed: 0,position,title,place_id,latitude,longitude,rating,reviews,type,types
0,1,Shrimant Dagdusheth Halwai Ganpati Mandir,ChIJ_0K0pW_AwjsR4bxItvVl850,18.5164297,73.85613289999999,4.8,165391,Hindu temple,"['Hindu temple', 'Religious organization', 'Tourist attraction']"
1,2,ISKCON NVCC Pune,ChIJSdctqfvqwjsR7tcJvlsbul4,18.4479075,73.8806802,4.7,32178,Hindu temple,"['Hindu temple', 'Food court', 'Outlet mall', 'Recreation center', 'Tourist attraction']"
2,3,"Shri Omkareshwar Temple, Pune",ChIJ45xFN3rAwjsR2V37jJhvZJA,18.5199001,73.8489738,4.7,5638,Hindu temple,"['Hindu temple', 'Tourist attraction']"
3,4,"Shri Mahalaxmi Mandir, Pune",ChIJdSya5BHAwjsRMdxtJDBOIUQ,18.49999,73.85407719999999,4.8,3152,Hindu temple,"['Hindu temple', 'Tourist attraction']"
4,5,Shri Chatushrungi Devi Temple,ChIJiQOngXe_wjsRXqB1ICYKi3Y,18.5390549,73.8283972,4.7,14400,Hindu temple,['Hindu temple']
5,6,BAPS Shri Swaminarayan temple Narhe - Pune,ChIJG00XWtqVwjsRs0vgrOLuRSQ,18.4420753,73.83648409999999,4.7,12492,Hindu temple,['Hindu temple']
6,7,Shree Nageshwar Shiv Mandir,ChIJUyQesGfAwjsRi-ZWzAKcwak,18.5211462,73.8633162,4.6,523,Hindu temple,['Hindu temple']
7,8,Shri Siddhivinayak Ganesh Mandir Sarasbaug,ChIJd-Wy4g3AwjsRnlJqTKagdlM,18.5008945,73.85305009999999,4.6,14919,Hindu temple,"['Hindu temple', 'Park']"
8,9,Wagheshwar Temple,ChIJ83ttOjnGwjsRWeipP0aGay8,18.5817586,73.97772119999999,4.7,11861,Hindu temple,"['Hindu temple', 'Tourist attraction']"
9,10,Shree Devdeveshwar Temple (Parvati Temple),ChIJK3EUKQnAwjsR8sgehTShT5E,18.4975732,73.84717169999999,4.5,4504,Hindu temple,"['Hindu temple', 'Hiking area', 'Tourist attraction']"
10,11,Shree Ayyappa Temple,ChIJO9dP20LAwjsR4JzurEiq9WU,18.5183465,73.86832009999999,4.6,662,Hindu temple,"['Hindu temple', 'Tourist attraction']"
11,12,Tulshibaug Shri Ram Mandir,ChIJlz9Oam7AwjsRSAU54ATRZ64,18.5137617,73.85536479999999,4.7,1516,Hindu temple,"['Hindu temple', 'Tourist attraction']"
12,13,ISKCON Pune Camp,ChIJud3T2U_AwjsRABe9wpfghek,18.5203582,73.8796204,4.7,10758,Hindu temple,"['Hindu temple', 'Place of worship', 'Spiritist center', 'Tourist attraction']"
13,14,Bhuleshwar Temple,ChIJ5ctMUg0ewzsRypqw9G3-fPQ,18.4360035,74.2411621,4.8,8140,Hindu temple,"['Hindu temple', 'Tourist attraction']"
14,15,Shiv Temple,ChIJG7j5zyDCwjsR6bQbtxT6eA0,18.5186961,73.9383582,4.7,223,Hindu temple,['Hindu temple']
15,16,Shree Trishunda Ganpati Mandir,ChIJ36EM-GbAwjsRHba_oTh07ys,18.5216712,73.86184039999999,4.7,1047,Hindu temple,"['Hindu temple', 'Tourist attraction']"
16,17,Shree Shiva Temple,ChIJcyilYvDBwjsRFKpoh4-D1xQ,18.5022509,73.92745719999999,4.6,295,Hindu temple,['Hindu temple']
17,18,Mahadev Mandir,ChIJq79xouO4wjsRiQONz7MBGKE,18.602108,73.7993759,4.8,1215,Hindu temple,['Hindu temple']
18,19,Sri Ahobila Mutt Sri Balaji Mandir,ChIJ2-aAAOW-wjsR1wSFRZyCES4,18.5416109,73.78976469999999,4.6,1710,Hindu temple,"['Hindu temple', 'Place of worship']"
19,20,Khandoba temple,ChIJ97ysqhuVwjsRPdpLQKqyewY,18.4149154,73.8209724,4.8,510,Hindu temple,"['Hindu temple', 'Tourist attraction']"
0,1,Shree Mahalaxmi Mandir,ChIJf1UcrvTBwjsRaIL1yujJKj4,18.5129296,73.9308868,4.8,555,Hindu temple,['Hindu temple']
1,2,Shiv Mandir,ChIJUe934zO_wjsRNdaWRaKwsUc,18.5665303,73.81158239999999,4.7,47,Hindu temple,['Hindu temple']
2,3,Ganesh Temple,ChIJWbX0MW7AwjsRvcTtGj8jvko,18.5148219,73.85452959999999,4.6,120,Hindu temple,['Hindu temple']
3,4,Mhatoba Temple,ChIJIdJhG6u_wjsRfBIBV4nrmFo,18.5212954,73.79718439999999,4.6,254,Hindu temple,"['Hindu temple', 'Tourist attraction']"
4,5,Shree Balaji Temple,ChIJE3PfoPvqwjsRFCDta1L1nOc,18.4472838,73.88029159999999,4.6,193,Hindu temple,['Hindu temple']
5,6,Shree Navagraha Shani Mandir,ChIJN260dGXAwjsRykxHmjsobvI,18.5197528,73.85626309999999,4.5,584,Hindu temple,"['Hindu temple', 'Tourist attraction']"
6,7,Shri Saibaba Temple,ChIJOYiMqIfAwjsRcil8MAtxBAo,18.5256587,73.85588489999999,4.7,454,Hindu temple,['Hindu temple']
7,8,Marigold Balaji Temple,ChIJs7IX-Q3BwjsRahyo1Y3FEIA,18.5452,73.9066899,4.7,439,Hindu temple,"['Hindu temple', 'Place of worship']"
8,9,"Shree Balaji Temple, Pune",ChIJCw3v3eC-wjsRRQZzAaSldtg,18.2566632,73.9323634,4.7,12247,Hindu temple,['Hindu temple']
9,10,Gramadevatha Sri Kasba Ganapati Mandir Devastan,ChIJxwVhhWXAwjsRrW-T8LDL4lo,18.5190414,73.8573208,4.7,2931,Hindu temple,"['Hindu temple', 'Charity', 'Library', 'Non-profit organization']"
10,11,Navagraha Temple Baner Gaon,ChIJQ5qiT9e-wjsRYpWMuYz9FaI,18.5598441,73.788198,4.7,298,Hindu temple,"['Hindu temple', 'Tourist attraction']"
11,12,Jagannath Temple,ChIJ8ShojmC_wjsRcFxdhZzf7Ns,18.55008,73.83853409999999,4.8,329,Hindu temple,"['Hindu temple', 'Place of worship']"
12,13,Ramdara temple,ChIJ49_qb4_owjsROpY4mHsNjs4,18.4437359,74.0174608,4.6,11984,Hindu temple,"['Hindu temple', 'Tourist attraction']"
13,14,Shree Tarkeshwar Mandir,ChIJR7DaiOTAwjsRNeAcY_Y744I,18.5461538,73.8821949,4.5,622,Hindu temple,"['Hindu temple', 'Tourist attraction']"
14,15,Shree Siddhivinayak Mandir Pune,ChIJCZS-ibe_wjsRv3vtPYULsMA,18.5073514,73.8076543,4.7,64,Hindu temple,['Hindu temple']
15,16,"Shri Parvatinandan Ganpati Devsthan, Pune (Khinditla Ganpati)",ChIJ4fuDkG-_wjsRxlAJ_fpSCkQ,18.5411777,73.8290758,4.8,119,Hindu temple,['Hindu temple']
16,17,Shiv Mandir,ChIJDUypmuTAwjsRTq-Dkb27qUs,18.5448307,73.8829655,4.6,42,Hindu temple,['Hindu temple']
17,18,Mahalaxmi Mandir,ChIJ0VdRLwnAwjsRaeAHCij8ZWo,18.4977029,73.8470775,4.6,31,Hindu temple,['Hindu temple']
18,19,Shree Shiva Temple,ChIJO_cOeUSVwjsRvdUrraA-Ra4,18.4660721,73.8245268,4.4,102,Hindu temple,['Hindu temple']
19,20,Shree Swami Samartha Temple,ChIJ3bKtzW3AwjsR37hb7Ul_AQU,18.5117218,73.85638229999999,4.6,77,Hindu temple,"['Hindu temple', 'Tourist attraction']"
0,1,Shiva Temple,ChIJwYNp_1brwjsR-tE94Bolu4A,18.4595874,73.9002074,4.8,28,Hindu temple,['Hindu temple']
1,2,Sai Baba Temple,ChIJlW3D59y_wjsR9ioUrX2-04w,18.4899779,73.8144932,4.7,205,Hindu temple,['Hindu temple']
2,3,Vithal Mandir,ChIJJw1dQXTAwjsRE70VwwTvC6k,18.509867,73.846024,4.6,125,Hindu temple,['Hindu temple']
