,Position,place_id,reviews,topics
0,1,ChIJ_0K0pW_AwjsR4bxItvVl850,dagdusheth halwai ganpati templ beauti spiritu destin pune majest idol lord ganesha stun templ well-maintain even larg crowd atmospher seren make excel place devote seek peac must-visit rich histori divin dagdusheth ganapati mandir one famou rever templ dedic lord ganesha known stun architectur vibrant atmospher templ attract devote tourist alik idol lord ganapati adorn exquisit decor especi festiv creat mesmer sight templ well-maintain tranquil ambianc make perfect spot prayer reflect visitor also enjoy bustl market surround templ offer variou sweet souvenir must-visit anyon explor pune' spiritu cultur heritage! want feel divin power lord ganesh here' place submit soul fall love ganapati bappa joyou extrem intellig form god incarn devi parvati feel vibe typic pune heritag cultur peopl uniqu style welcom everi person heart shreemant dagdusheth halwai ganpati mandir one famou rever templ pune grand idol lord ganesha incred beauti serv focal point devot countless devote temple' atmospher peac spiritu provid calm experi manag well-organ ensur smooth easi darshan even crowd time must-visit pune experi divin seren beauti templ insid world outsid complet block love visit templ whenev go sideon auspici day wait regular day regular day line move quickli like walk throughmani celebr visit one auspici templ countri must visit whenev pune templ locat heart pune citi lakh peopl gather ganpati festiv ganesh chaturthi dagdusheth templ pune divin sanctuari known majest lord ganesha idolth seren atmospher coupl intric architectur offer deepli spiritu experiencewell-organ clean must-visit devote tourist seek tranquil glimps pune' rich cultur heritag mandir good clean also sometim staff support help also chappal stand servic provid trust help overal experi best,"darshan, ganesh chaturthi, ornaments, modak, plague, lal mahal, lokmanya tilak, 1893, traffic police, kasba ganapati"
1,2,ChIJSdctqfvqwjsR7tcJvlsbul4,templ nice beauti go atmospher calm peac also gift shop insid templ premis buy anyth kid adult one visit templ least see templ recent visit iskcon templ extrem mesmeris temple' architectur stun beauti golden decor reflect site' majesti dedicationth deiti elegantli wrap decor bright result peac spiritu atmospher templ priest perform ceremoni tremend devot contribut spiritu mooddarshan deiti provid sens calm tranquil gener cleanli upkeep templ ground outstand templ must-se everyon look relax spiritu experiencewheth devote curiou iskcon templ provid insight rich tradit cultur indian spiritu certainly! here’ detail descript english:---th iskcon templ hindu templ dedic radha krishna addit idol jagannath one side templ spaciou featur strike scene entranc krishna depict danc hood (sheshnag) templ shop mall offer varieti item includ puja suppli decor good adjac templ beauti balaji templ enhanc spiritu atmospher areath templ complex also provid accommod sever hotel clean restroom ampl seat area visitor free prasad avail balaji laddu purchas 100 rupe conveni municip park facil nearbi charg 10 rupe per hour--- continu visit place 2015 love place want peac must go place like experi next level posit per experi share thing -1 time - follow pooja aarti time templ closed2 prasad - enjoy food servic 2021 start prasad 3 time day must it3 shop center - love thing shop center authent idol watch herbal product dress garment bag jewelri pooja item mani (some product price great discount prices)4 bhajan - enjoy chant bhajan place boost posit vibe5 place realli good shoo rack clean hygien toilet drink water place sit rose garden book stall mani more6 park space also free park pune municip corporationimp note - pleas park vehicl park area otherwis fine traffic polic vehicl get lifted7 overal good experi face enjoy paint structur ambienc iskcon templ pune seren spiritu uplift place architectur stun beauti maintain garden peac ambianc make perfect medit reflect ️the templ staff welcom provid insight explan belief practic iskconth prasadam serv delici add overal divin experi ️whether seek spiritu solac quiet place unwind iskcon templ definit worth visit templ dedic lord krishna goddess radha featur stun idol sceneri atmospher beauti architectur lush green surround templ complex also includ balaji templ offer daili prayer activ excel place medit relax experienc indian spiritu cultur pune' iskcon templ amaz atmospher cleanli pleasant atmospher peac devot spirit amaz cleanli pleasant atmospher peac devot spirit give differ joy mind mind delight differ world like templ much iskcon templ seren uplift place visit temple' architectur stun peac atmospher make perfect medit reflect chant spiritu activ creat deepli spiritu experi whether seek spiritu growth peac retreat iskcon templ wonder destin,"lord krishna, prasad, gift shop, radha, kirtan, hare, paintings, khichdi, gita, radhe radhe"
2,3,ChIJ45xFN3rAwjsR2V37jJhvZJA,beauti shiv mandir middl hustl bustl pune citi premis big difficult imagin big templ dens pack area puneth templ maintain well premis clean neat apart main shiv mandir number small templ deitiesearli morn late even beauti ampl space peopl sit enjoy peac divin surround templ stone templ besid river muthaomkareshwar mandir 18th centuri templ buiilt chimaji appa brother peshwa bajirao ithi templ legaci & heritag pune must visit touriststhi templ close river central place quit big shiva templ built peshwa maintain neatli quit calm place even though citi celebr festiv like mahashivratri dasara big way opposit templ small ghat avail last ritual perform death amaz templ busi pune calm seren visit shree omkareshwar templ religi experi also cultur journey connect pune' rich heritag spiritu tradit overal shree omkareshwar templ pune must-visit anyon interest architectur spiritu simpli seek peac escap city' hustl bustl peac histor templ shiva must visit peshvekalin templey get see beauti ancient templ beauti place visit puneth deep connect toward god shiva shri omkareshwar templ pune truli magnific spiritu uplift place soon step foot insid templ ground feel sens peac tranquil wash architectur beauti templ awe-inspir intric carv tower spire reach toward heaven visit shree omkareshwar hindu templ spiritu enrich experi temple' architectur awe-inspir creat seren atmospher worship priest knowledg offer insight explan ritual beauti chant ritual enhanc sens tranquil templ ground well-maintain commun warm welcom whether seek spiritu solac cultur explor omkareshwar templ provid seren sanctuari all️️ view: trust me! definit end uniqu experi visit templ best time: earli morn get posit vibesi visit templ 30th dec'23 first time moment enter differ experi altogeth definit satisfi devot perspectiveavoid 4 wheeler tight park 2 wheeler auto best way get place around 2 km plenti food joint nice shop reason rate,"meditation, peshwa, architecture, structure, chimaji appa, mahashivratri, shivling, 18th century, inner peace, domes"
3,4,ChIJdSya5BHAwjsRMdxtJDBOIUQ,shri mahalaxmi templ beauti fill lot posit vibe three goddess templegodess saraswati godess mahalaxmi godess mahakali sarasbaug beauti templ surround food corner saraswati mahalaxmi mahakali idol templ beauti decor everi time festiv love tile even though hot outsid still step templ made feel devot goddess mahalaxmi templ mahalakshmi mata amaz atmospher fantasticth space small mani devote present timei go almost time feel relax get chanc definit go *** highli recommend ***pune sarasbaugseek bless todaydivin serinityfeel bliss stay blessedmost beauti templ godess tri shaktitempl tri shakti : godess kali laxmi saraswati1 km swargat bu standright front sarasbaug maa laxmi templ infrant oldest garden pune' sara bag beauti templ fine sculptur idol godess mahalaxmi kali mata saraswati devi templ surround delic sculpt statu sant tukaram sant dnyaneshwar sant ramda mani great place centr citi seek peac day day busi life beauti peac templ love divin darshan maa,"saraswati, goddess, idols, navratri, mahakali, marble, lakshmi, decoration, architecture, diwali"
4,5,ChIJiQOngXe_wjsRXqB1ICYKi3Y,one beauti templ pune maa chaturshringi adob 4 hill henc name chaturshringitempl renov re-open navratri 2024 still construct come beauti also one siddh templ sens energi mata herey big park lot insid templ except navratri beauti calm templ idol goddess beauti posit vibe climb stair reach top hill templ crowd navaratri festiv lot peopl come long distanc worship goddess visit first day navratri shoe collect counter mani sweet shop toy shop wonder templ dedic goddess chatshrungi settl among beauti hill grandeur entranc realli make place worth visit interest histori omit visitor find truli worth trip visit 9th octob 2024 around 6:30 pmno waiting2 wheeler car park avail 1 km mandir polytechn ground must visit templ love peac surround went saturday even wasn’t rush climb stare get templ pay park avail 10/- per hour park experi smooth bench want spent time beauti peac surround one histor templ pune realli nice see amaz experi jay mata di navratri start rush increas plan accordingli visit templethi time find chang templ renov go next visit click pictur share,"stairs, navratri, darshan, the hill, premises, eye, parking space, relax, shivajinagar, shoe"
5,6,ChIJG00XWtqVwjsRs0vgrOLuRSQ,templ nice built detail stone work make beauti surround templ also nice develop clean well maintain famili hang around darshan hill backsid templ creat amaz view summer better reach around 5:00 pm could hot weather cloudi reach even 4:00 pm open time templ enough space two wheeler four wheeler park charg park food stall outsid long queue first token food prepar better keep someth go kid visit templ almost everi 2-3 month alway refresh mood calm devot templ structur importantli maintain greeneri also park avaialbl alway crowdi never feel like must visit u r pune excel architectur minut detail insid outsid templ find carv mytholog charact wall templ idol saint deiti ground floor inner templ first floor mesmer area huge structur around templ beauti visit even light look awesom beauti templ well maintain clean sunset time best time visit templelot park space avail food store also visit place profoundli peac experi stun architectur tranquil surround creat ideal space reflect ritual mesmer commun incred welcom overal deepli enrich memor visit swaminarayan templ pune seren spiritu retreat stun architectur peac ambianc beauti maintain ground make must-visitdevote visitor alik captiv divin aura cultur rich sens tranquil offer silent clean calm place visit beauti architectur god' statu staff strict use mobil phone insid templ right make photoshoot place instead peac place one beauti place pune!th temple' architectur stun beauti idol deities!!easi reach well maintain earli morn even best time visitth entir templ area huge love garden plenti seat space larg park space 2 wheeler 4 wheeler,"architecture, evening, carvings, parking space, structure, sunset, jay swaminarayan, pillars, art work, four wheeler"
6,7,ChIJUyQesGfAwjsRi-ZWzAKcwak,hidden gem puneon thousand year old shree nageshwar shiv mandirmust visit explor heritag templ bylan somwar peth lie 1000-year old templ dedic bhagwan shankar templ confluenc three differ period three differ architectur style templ hemadpanti style shikhar built form dome influenc islam architectur complet minar said architect save templ destruct also show influenc amalgam hindu muslim way life wooden sabhamandap built peshwa maratha style architecturey learn templ histor place pune youtub seri 'gosht punyachi' lokmat situat pune' somwar peth nageshwar mandir rever templ dedic lord shiva nestl one city' renown local origin known shahpura area inhabit gosavi serv moneylend time predat exist bank noteworthi landmark local includ shahu udyan shahu talav apollo theatred back 14th centuri nageshwar mandir deriv name nageshwar jyotirlinga templ mention ancient sanskrit text shiva purana nageshwar epithet lord shiva jyotirlinga symbol radiant form deiti contribut temple' spiritu signific stone gabhara innermost holi shrine suggest construct yadava dynasti wooden structur design follow peshwa architectur style make challeng precis date temple' formationonc featur kunda known nagatirtha nagendratirtha templ premis held water reservoir believ devote heal properti leprosi pilgrim would visit nageshwar mandir head ganga benar pour water sacr river kunda upon return pune municip corpor seal reservoir cover signific portion templ ground sever decad ago surround nageshwar mandir four templ dedic ram vitthal maruti vishnuth associ saint like sant namdev sant tukaram add temple' histor spiritu signific sant namdev' write frequent mention nageshwar mandir refer sanctum sanctorum shivakshetra mani vers sant tukaram' in-law resid nearbi villag lohegaon prompt host kirtan (devot songs) templ visit devot perform garner widespread popular attract crowd surround villag old & ancient templ peth area pune cityyadav’ dynasti period & renov peshwasveri huge shiva templewel craft wooden sabha mandap worth visitveri larg area surround stone wall & multipl entri & exit gatespeopl interest histori & ancient architectur must visit herelittl far main road follow map easili reach herepark could done differ gatesfre entri somwar peth lie 1000-year old templ dedic shiva place calm core citi punenageshwar templ templ lord shiva locat somwar peth pune nageshwar templ one oldest templ maharashtra built date back 14th centuri yadava style architecturedo visit place perfect exampl ancient architectur craftsmanship hindu sanskruti templ believ 8-900 year old believ sant dyaneshwar maharaj sant tukaram maharaj paid homag templ way back thena magnet magnific breathtak craftsmanship display templ situat heart pune citi everyon visit experi masterpieceth caretak famili fantast work maintain beauti masterpiec dignifi way sit long hour even think beauti place centr citi even frequent worshipp place must visit ambianc,"lord shiva, ancient, peaceful, architecture, wooden, heart, feel, stone, holy place, premises"
7,8,ChIJd-Wy4g3AwjsRnlJqTKagdlM,sarasbuag one histor place museum awesom templ beuti surround garden well maintain clean outsid templ compound wall lot food stall avail lot game children pay park vehicl park avail nearbi majest experiencemi recent visit sarasbaug ganpati one ashtavinayak templ truli unforgett experi temple' grandeur intric architectur left awe tower gopuram adorn color sculptur sight beholdth main attract cours majest idol lord ganesha idol believ self-manifest known uniqu featur temple' seren atmospher posit energi exud make perfect place spiritu seekersth temple' locat amidst lush greeneri add charm surround area well-maintain clean comfort facil visitor prasad offer templ delici believ heal propertieswheth devout hindu simpli look peac spiritu experi sarasbaug ganpati must-visit place truli connect divin experi beauti indian cultur one oldest & auspici templ punesitu center sarasbaug garden surround lotu pondwel maintain architectur & heritag valu templey feel old architectur & spiritu vibesy place shoe insid shoestand free insid templeentri free allthi one cultur jewel pune beauti templ beauti idol god ganesha templ surround includ lake fish mani turtl love place sara baug must visit place pune darshan list quiet peac place admist citi chaosth ganesh idol museum nice visit buy ticket sameoveral great place visit nice place seren sooth vibe templ clean antiqu uniqu collect bappa museum park also premis close 11am reopen even jogger quit famili place love italso pay visit mahalakshmi templ next close 12pm clean ganesh templ garden ganesh statu museum ganesha god make wish true year 1784 madhavrao peshwa buit small templ herether beauti museum ticket inr 10 per person garden lake beauti place full varieti bird municip park avail get peac mind also histor thing peshw new visit,"garden, ganpati, beautiful, peshwa, lake, evening, museum, stalls, tortoise, fish pond"
8,9,ChIJ83ttOjnGwjsRWeipP0aGay8,"wagheshwar templ incred peac seren destin list travel visit area temple' calm environ offer perfect space reflect devot make must-visit seek tranquil howev it’ import note visitor requir dress modestli formal casual attir accept within templ premis short one-piec dress permit pleas ensur cloth respect appropri sacr space here' sampl review temple:*seren divin experience*rating: 5/5""i recent visit [templ name] awestruck breathtak architectur tranquil atmospher temple' intric carv stun sculptur vibrant paint left spellboundth priest staff warm welcom explain temple' histori signific great enthusiasm temple' cleanli mainten impressiveth energi within templ palpabl felt deep sens peac connect divin surround garden lack clean beauti ️ best experi ever peac vibe went morn 7 highli recommend go visit templ open summer rest 9 month templ remain close dam water level nice place spend templ seren place one beauti park insid templ area big park front templ complet picturesqu fountain pond chowpatti next templ perfect seek peac calm away hustl bustl wagheshwar templ wagholi pune ancient hindu templ dedic lord shivalegend suggest built pandava exil great place histor import lot build built around strang thing templ hindu cremat premisesth nandi statu great ambienc well maintain ampl park care traffic one beauti well known templ goddess mahadeva locat near wagholi call wagheshwar templei would recommend visit even time around 6 pm experi beuti natur one dam beauti fountain simpl sweet religi place main road near rivereasili accessiblepeopl enjoy boat river spend qualiti time famili friendseat also avail outsid templ premis","lake, garden, area, boating, om namah shivay, premises, pandavas, shivaji maharaj, cremation, mahabharata"
9,10,ChIJK3EUKQnAwjsR8sgehTShT5E,templ top hill access hike 100 step climb great scenic view fresh air museum nearbi old artifact templ shree devdeveshwar beauti top parvati tekdi templ area hill peac happi hill full green tree look nice attract peshwa nana saheb built templ hill design templ well done 4 smaller templ god four corner templeth pind shankara templ nice ️the top templ beauti carvedfrom hill templ see nice view puneand also see peshwa museum hill peac nice place templat lord shiva place belong parvati hill place beauti view natur place beauti templ lord vitthal rukhmini side lord shiva' templ top hill also go museum museum dedic shrimant nanasaheb peshw go tourist also lot option snack hill best option tracker want get fit physic go hill run walk everyday must visit beauti place locat pune peshwa time ancient lord shiva templ locat parvati hill place give holi vibe shiva templ clean preciou area beauti view old pune citi front also templ premis museum ancient thing peshwa templ remain open day nice old templ worth visit nice place visit day summer summer visit earli morn even templ lord mahadev vishnu kartik god creat peshwa peshwa musiem also must visit place show histori maharashtra pune citi entir view pune citi visibl calm beauti place love visit love view top mountain also call parvati hillstheir mani templ mountainnot crowd visit everi templ timealso view mesmerizingbest time even visity see pune top one scenic place pune!th templ 250 year old built peshwa templ & hill got free hand naturelittl 100 step climb & reach hill top also museum visit garden construct place even beauti competedo visit even experi breathtak view sunset,"museum, hill, morning, peshwa, historical place, evening, climb, sunset, trekking, 1749"
