,place_id,reviews,topics
0,ChIJ_0K0pW_AwjsR4bxItvVl850,"['The Dagdusheth Halwai Ganpati Temple is a beautiful spiritual destination in Pune. The majestic idol of Lord Ganesha is stunning, and the temple is well-maintained, even with large crowds. The atmosphere is serene, making it an excellent place for devotees seeking peace. A must-visit for its rich history and divinity.', ""Dagdusheth Ganapati Mandir is one of the most famous and revered temples dedicated to Lord Ganesha. Known for its stunning architecture and vibrant atmosphere, the temple attracts devotees and tourists alike. The idol of Lord Ganapati is adorned with exquisite decorations, especially during festivals, creating a mesmerizing sight. The temple is well-maintained, and its tranquil ambiance makes it a perfect spot for prayer and reflection. Visitors can also enjoy the bustling market surrounding the temple, which offers various sweets and souvenirs. A must-visit for anyone exploring Pune's spiritual and cultural heritage!"", ""Do you want to feel the divine power of Lord Ganesh ? Here's the place to submit your soul and fall in love with Ganapati bappa. A joyous, and extremely intelligent form of God incarnated by Devi Parvati , feel the vibe of Typical Pune and it's heritage, culture, people and their unique style of welcoming every person into their heart 🙏🏻"", ""Shreemant Dagdusheth Halwai Ganpati Mandir is one of the most famous and revered temples in Pune. The grand idol of Lord Ganesha is incredibly beautiful and serves as a focal point of devotion for countless devotees. The temple's atmosphere is peaceful and spiritual, providing a calming experience. The management is well-organized, ensuring smooth and easy darshan even during crowded times. A must-visit when in Pune to experience divine serenity"", 'Beautiful Temple, when you are inside the world outside is just completely blocked off. Love visiting this temple whenever I go to that side.\n\nOn auspicious days there is waiting but not on regular days, on regular days the line moves quickly just like you are walking through.\n\nMany celebrities visit here, it is one of the most auspicious temples in the country and a must visit whenever you are in Pune.', 'The temple is located in the heart of pune city and more than lakhs of people gather during the ganpati festival on ganesh chaturthi.', ""Dagdusheth Temple in Pune is a divine sanctuary, known for its majestic Lord Ganesha idol.\n\nThe serene atmosphere, coupled with intricate architecture, offers a deeply spiritual experience.\nWell-organized and clean, it's a must-visit for devotees and tourists seeking tranquility and a glimpse of Pune's rich cultural heritage."", 'Mandir is Good. It is clean also and sometimes staff is not that supportive but they are helpful. Also chappal stand service provided by trust is very helpful. Overall experience is best.']","['darshan', 'ganesh chaturthi', 'ornaments', 'modak', 'plague', 'lal mahal', 'lokmanya tilak', '1893', 'traffic police', 'kasba ganapati']"
1,ChIJSdctqfvqwjsR7tcJvlsbul4,"['The temple is very nice and beautiful. After going there, the atmosphere is very calm and peaceful. There is also a gift shop inside the temple premises where you can buy anything from kids to adults. One should visit the temple at least once and see the temple.', ""My recent visit to the ISKCON temple was extremely mesmerising. The temple's architecture is stunning, with beautiful golden decorations reflecting the site's majesty and dedication.\n\nThe deities are elegantly wrapped, and the decorations are bright, resulting in a peaceful and spiritual atmosphere. The temple priests performed the ceremonies with tremendous devotion, which contributed to the spiritual mood.\n\nDarshan of the deities provided a sense of calm and tranquillity. The general cleanliness and upkeep of the temple grounds was outstanding. This temple is a must-see for everyone looking for a relaxing and spiritual experience.\n\nWhether you are a devotee or just curious, the ISKCON temple provides insight into the rich tradition and culture of Indian spirituality."", 'Certainly! Here’s a detailed description in English:\n\n---\n\nThe ISKCON Temple is a Hindu temple dedicated to Radha and Krishna, with additional idols of Jagannath on one side. The temple is spacious and features a striking scene at the entrance, where Krishna is depicted dancing on the hood of a (Sheshnag). Below the temple is a shopping mall offering a variety of items, including puja supplies and decorative goods. Adjacent to the temple is a beautiful Balaji temple, enhancing the spiritual atmosphere of the area.\n\nThe temple complex also provides accommodations and has several hotels. There are clean restrooms and ample seating areas for visitors. Free prasad is available, and Balaji laddus can be purchased for 100 rupees each. For convenience, there is a municipal parking facility nearby, charging 10 rupees per hour.\n\n---', 'I am continuously visiting this place from 2015, I am in love with this place, if you want a peacefulness you must go to the places like this, you will experience next level positiveness. As per my experience I will share some of the things -\n1. Time - You should follow the pooja, Aarti timings, other than that temple will be closed.\n2. Prasad - You will enjoy the food service from 2021 they have started Prasad, 3 times a day. So you must have it.\n3. Shopping center - you will love the things in Shopping center, authentic idols, watches, herbal products, dress and garments, bags, jewelries, pooja items and many more. (Some products are over priced but some with great discounted prices)\n4. Bhajan - you will enjoy the chanting, Bhajan in this place which will boost your positive vibe\n5. Place is really good you have shoo rack, clean and hygienic toilets, drinking water, place to sit, rose garden book stalls and many more\n6. Parking space also there free Parking by Pune Municipal Corporation.\nIMP Note - please park your vehicle in Parking area otherwise you will be fined by traffic police and your vehicle will get lifted\n7. Overall a good experience I am facing here, you will enjoy the painting, structure and ambience', ""The ISKCON Temple in Pune is a serene and spiritually uplifting place. ✨😊\nThe architecture is stunning, with beautifully maintained gardens and a peaceful ambiance that makes it perfect for meditation and reflection. ❣️\nThe temple staff are welcoming and provide insightful explanations about the beliefs and practices of ISKCON.👍🏻\nThe prasadam served here is delicious and adds to the overall divine experience. 🍱🍽️\nWhether you're seeking spiritual solace or just a quiet place to unwind, the ISKCON Temple is definitely worth a visit."", 'Temple is dedicated to Lord Krishna and Goddess Radha, featuring stunning idols with scenery atmosphere, beautiful architecture and lush green surroundings.  The temple complex also includes a Balaji temple and offers daily prayers and activities. It is an excellent place for meditation, relaxation, and experiencing Indian spiritual culture', ""Pune's ISKCON temple has an amazing atmosphere. The cleanliness, pleasant atmosphere, peace, and devotional spirit are amazing. The cleanliness, pleasant atmosphere, peace and devotional spirit here give a different joy to the mind. Here the mind is delighted and there is a different world here. I like this temple very much."", ""The ISKCON Temple is a serene and uplifting place to visit. The temple's architecture is stunning, and the peaceful atmosphere makes it perfect for meditation and reflection. The chanting and spiritual activities create a deeply spiritual experience. Whether you're seeking spiritual growth or just a peaceful retreat, the ISKCON Temple is a wonderful destination""]","['lord krishna', 'prasad', 'gift shop', 'radha', 'kirtan', 'hare', 'paintings', 'khichdi', 'gita', 'radhe radhe']"
2,ChIJ45xFN3rAwjsR2V37jJhvZJA,"['Very beautiful Shiv mandir in the middle of hustle bustle of Pune city. The premises is very big, its difficult to imagine there is such big temple in densely packed area of Pune.\n\nThe temple is maintained very well. Premises are very clean and neat. Apart from the main Shiv mandir, there are a number of other small temples of other deities.\n\nEarly mornings or late evenings are very beautiful. There is ample space for people to sit and enjoy the peaceful and divine surroundings of the temple.', 'Stone temple besides river Mutha\nOmkareshwar Mandir is a 18th century temple buiilt by Chimaji appa, brother of Peshwa Bajirao I.\nThis temple is legacy & heritage of Pune, must visit by tourists.\nThis temple is very close to river and central place. It is quite big shiva temple built by Peshwa and maintained neatly. It is quite calm place even though it is in city. They celebrate festivals like Mahashivratri, Dasara in big way. Just opposite this temples, small ghat is available where last rituals are performed after deaths.', 'Amazing temple in busy pune. Very calm and serene.', ""Visiting Shree Omkareshwar Temple is not only a religious experience but also a cultural journey that connects you with Pune's rich heritage and spiritual traditions. Overall, Shree Omkareshwar Temple in Pune is a must-visit for anyone interested in architecture, spirituality, or simply seeking a peaceful escape from the city's hustle and bustle."", 'Very peaceful and historical temple of Shiva, must visit here it is peshvekalin temple.\n\nYou will get to see the beauty of ancient temple.', 'A beautiful place to visit in Pune.The deep connection towards God Shiva 💗.The Shri Omkareshwar Temple in Pune is truly a magnificent and spiritually uplifting place. As soon as you step foot inside the temple grounds, you can feel a sense of peace and tranquility wash over you. The architectural beauty of the temple is awe-inspiring, with its intricate carvings and towering spire reaching towards the heavens.', ""🧘🏻🦋I visited the Shree Omkareshwar Hindu Temple, and it was a spiritually enriching experience. The temple's architecture was awe-inspiring, creating a serene atmosphere for worship. The priests were knowledgeable and offered insightful explanations of the rituals. The beautiful chanting and rituals enhanced the sense of tranquility. The temple grounds were well-maintained, and the community was warm and welcoming. Whether you seek spiritual solace or cultural exploration, omkareshwar Temple provides a serene sanctuary for all.🐿️❤️"", ""My View: Trust me..! You will definitely end up having a unique experience when you visit this temple. Best time: Early mornings to get the positive vibes.\n\nI visited this temple on 30th Dec'23 for the first time and the moment I entered it's a different experience altogether. You will definitely be satisfied from a devotional perspective.\n\nAvoid 4 wheelers as there is tight parking, 2 wheelers and autos are best way to get to this place. Around 2 kms you have plenty of food joints and do some nice shopping at reasonable rates.""]","['meditation', 'peshwa', 'architecture', 'structure', 'chimaji appa', 'mahashivratri', 'shivling', '18th century', 'inner peace', 'domes']"
3,ChIJdSya5BHAwjsRMdxtJDBOIUQ,"['Shri Mahalaxmi temple is very beautiful and filled with lots of positive vibes. It has all three goddesses in the temple.Godess Saraswati Godess Mahalaxmi Godess Mahakali.', 'Sarasbaug has beautiful temples surrounded by food corners. Saraswati, Mahalaxmi, mahakali idols are here in the temple. Beautifully decorated every time during the festivals. Loved the tiles even though it was hot outside still stepping into the temple made me feel more devoted to goddess mahalaxmi.', 'The temple of Mahalakshmi Mata is amazing, the atmosphere is fantastic,The space is small so that not many devotees can be present at the same time.I go here almost most of the time and I feel very relaxed here. If you get a chance then definitely go here.', '*** Highly Recommended ***\n\nPune SarasBaug\n\nSeek the blessings today.\n\nDivine Serinity.\n\nFeel blissful and stay blessed.\n\nMost beautiful temple of the Godess Tri Shakti.\n\nTemple of Tri Shakti : Godess Kali, Laxmi, Saraswati.\n\n1 km from Swargate Bus Stand.\n\nRight in Front of Sarasbaug...', ""Maa Laxmi Temple infrant of Oldest Garden of Pune's Saras Bag."", 'Very beautiful temple with very finely sculptured idols of godess Mahalaxmi, Kali mata and Saraswati Devi. Temple is surrounded with some other delicately sculpted statues of Sant Tukaram, Sant Dnyaneshwar, Sant Ramdas and many more. Great place in centre of the city for seeking peace out of day to day busy life.', 'Such a beautiful and peaceful temple', 'Loved the divineful darshan of maa']","['saraswati', 'goddess', 'idols', 'navratri', 'mahakali', 'marble', 'lakshmi', 'decoration', 'architecture', 'diwali']"
4,ChIJiQOngXe_wjsRXqB1ICYKi3Y,"['One of the most beautiful temple in Pune. Maa Chaturshringi has her Adobe on 4 hills hence the name Chaturshringi.\n\nTemple was under renovation and re-opened in Navratri 2024. It is still under construction but coming up beautifully. It is also one of the siddh temples, you can sense the energy of Mata here.\n\nYou have a big parking lot inside the temple , except in Navratri.', 'Very beautiful and calm temple. The idol of the goddess is beautiful and has positive vibes. We have to climb some stairs to reach the top of the hill. The temple is crowded during the Navaratri festival and lots of people come from a very long distance to worship the goddess.', 'We visited here on the first day of navratri. There are shoe collection counters. There are so many sweets shops and toys shops.', 'A wonderful temple dedicated to Goddess Chatshrungi settled among the beauty of the hills. With the grandeur of its entrance, it really makes the place worth visiting. It has a very interesting history, which I omit so that the visitor can find out for himself. Truly worth a trip.', 'Visited on 9th October 2024 around 6:30 p.m.\nNo waiting.\n2 wheeler and Car parking is available 1 km from Mandir and it is at polytechnic ground.', 'Must visit this temple if you love peaceful surroundings. I went on Saturday evening and there wasn’t rush. You will have to climb stares to get to the temple. There is pay and park available for 10/- per hour so parking experience was smooth. There are benches if you want to spent some time in the beautiful peaceful surroundings.', 'One of the historical temple in pune. Really nice to see. Amazing experience. Jay Mata di', 'As navratri started, rush will increase. Plan accordingly your visit to temple.\n\nThis time, you will find some changes in the temple as renovation is going on. On my next visit, I will click pictures and share them with you all.']","['stairs', 'navratri', 'darshan', 'the hill', 'premises', 'eye', 'parking space', 'relax', 'shivajinagar', 'shoe']"
5,ChIJG00XWtqVwjsRs0vgrOLuRSQ,"[""The temple is nicely built. Detailed stone work makes it beautiful. The are surrounding to the temple is also nicely developed and it is clean and well maintained. Families can hang around there after having the Darshan. There are hills on the backside of the temple which create some amazing views. In summer, it is better to reach there at around 5:00 PM as before that it could be very hot. If the weather is cloudy then you can reach even at 4:00 PM as that is the opening time of the temple. They have enough space for two wheeler and four wheeler parking. They don't charge for the parking. They have a food stall outside, but has a long queue, first for the token and then for the food to be prepared. Better to keep  something with you if you are going with the kids."", 'I Visit this temple  almost every 2-3 month. Its always refresh your mood .calmness , devotion their temple structure and most importantly their maintainance for all greenery and also parking avaialble. Its always crowdy but never feels like that. Must visit if u r in Pune.', 'Excellent Architecture.  Minute details inside and outside the temple. You will find carvings of Mythological characters on the walls of the temple. There are idols of saints and deities at the ground floor. The inner temple on the first floor is mesmerizing.  The area is huge and the structures around the temple are beautiful too. Visit during the evening as the lighting looks awesome.', 'Beautiful temple, well maintained and very clean. Sunset time is the best time to visit this temple.\n\nLots of parking space is available and food stores are also there.', 'Visiting this place was a profoundly peaceful experience. The stunning architecture and tranquil surroundings created an ideal space for reflection. The rituals were mesmerizing, and the community was incredibly welcoming. Overall, it was a deeply enriching and memorable visit.', 'The Swaminarayan Temple in Pune is a serene spiritual retreat. The stunning architecture, peaceful ambiance, and beautifully maintained grounds make it a must-visit.\n\nDevotees and visitors alike are captivated by its divine aura, cultural richness, and the sense of tranquility it offers.', ""Silent, clean and calm place to visit. Beautiful architecture with god's status. Staff is strict about not to use the mobile phone inside the temple which is right, not to make photoshoot place instead of peaceful place."", ""One of the most beautiful places in Pune!\nThe temple's architecture is very stunning and has such beautiful idols of all the deities!!\nEasy to reach, well maintained. Early morning and evening is the best time to visit.\nThe entire temple area is huge with a lovely garden and plenty of seating space. There is a large parking space for both 2 wheeler and 4 wheelers.""]","['architecture', 'evening', 'carvings', 'parking space', 'structure', 'sunset', 'jay swaminarayan', 'pillars', 'art work', 'four wheeler']"
6,ChIJUyQesGfAwjsRi-ZWzAKcwak,"['Hidden Gems of Pune.\nOne thousand year old Shree Nageshwar Shiv Mandir.\n\nMust visit to explore this heritage temple.', ""In the bylanes of Somwar Peth lies this 1000-year old temple dedicated to Bhagwan Shankar. The temple is a confluence of three different periods, three different architectural styles. The temple is in Hemadpanti style but its shikhar is built in the form of a dome, influenced by Islamic architecture, complete with minars. It can be said that the architects did this to save this temple from destruction while it also shows the influence and amalgamation of the Hindu and Muslim way of life. The  wooden sabhamandap was built by the Peshwas in the Maratha style of architecture.\nYou can learn more about this temple and other historic places of Pune on YouTube in the series 'Gosht Punyachi' by Lokmat"", ""Situated in Pune's Somwar Peth, the Nageshwar Mandir is a revered temple dedicated to Lord Shiva, nestled in one of the city's renowned localities. Originally known as Shahpura, this area was inhabited by the Gosavis, who served as moneylenders in a time predating the existence of banks. Noteworthy landmarks in this locality include Shahu Udyan, Shahu Talav, and the Apollo Theatre.\n\nDating back to the 14th century, the Nageshwar Mandir derives its name from the Nageshwar Jyotirlinga, a temple mentioned in the ancient Sanskrit text Shiva Purana. Nageshwar, an epithet for Lord Shiva, and Jyotirlinga, symbolizing a radiant form of the deity, contribute to the temple's spiritual significance. The stone gabhara, or innermost holy shrine, suggests construction during the Yadava dynasty, while the wooden structural design follows the Peshwa architectural style, making it challenging to precisely date the temple's formation.\n\nOnce featuring a kunda, known as Nagatirtha or Nagendratirtha, the temple premises held a water reservoir believed by devotees to have healing properties for leprosy. Pilgrims would visit Nageshwar Mandir before heading to the Ganga in Benares, pouring water from the sacred river into the kunda upon their return. The Pune Municipal Corporation sealed this reservoir, which once covered a significant portion of the temple grounds, several decades ago. Surrounding the Nageshwar Mandir are four other temples dedicated to Ram, Vitthal, Maruti, and Vishnu.\n\nThe association of saints like Sant Namdev and Sant Tukaram adds to the temple's historical and spiritual significance. Sant Namdev's writings frequently mention the Nageshwar Mandir, referring to its sanctum sanctorum as Shivakshetra in many verses. Sant Tukaram's in-laws residing in the nearby village of Lohegaon prompted him to host kirtans (devotional songs) at the temple during his visits. These devotional performances garnered widespread popularity, attracting crowds from surrounding villages."", 'Very old & ancient temple in Peth area of pune city.\nYadav’s dynasty period & then renovated by Peshwas.\nVery huge Shiva temple.\nWell crafted wooden  sabha Mandap is worth the visit.\nVery large area surrounded by stone wall & multiple entry & exit gates.\nPeople who interested in history & ancient architecture, must visit here.\nLittle far from Main road but you follow the map, you can easily reach here.\nParking could be done here on different gates.\nFree entry for all.', 'Somwar Peth lies this 1000-year old temple dedicated to Shiva.', 'This place is so calm in the core city of Pune.\nNageshwar Temple, the temple of Lord Shiva, is located in Somwar Peth, Pune. The Nageshwar temple is one of the oldest temples in Maharashtra and was built dates back to the 14th century in Yadava style of architecture.\nDo visit this place 😊', 'A perfect example of ancient architectural craftsmanship Hindu SanSkruti have. This temple is believed to be 8-900 years old. It is believed that Sant Dyaneshwar maharaj and Sant Tukaram Maharaj have paid the homage at this temple way back then.\n\nA Magnetics, magnificent and breathtaking craftsmanship it displays. This temple is situated in heart of Pune city. Everyone should visit and experience this masterpiece.\nThe caretaking family is doing very fantastic work and maintaining this beautiful masterpiece in very dignified way.', ""Sit here for long hours at the evening to think about yourself. Beautiful place at the centre of the city. Even if you're not a frequent worshipper this place is a must visit for the ambiance""]","['lord shiva', 'ancient', 'peaceful', 'architecture', 'wooden', 'heart', 'feel', 'stone', 'holy place', 'premises']"
7,ChIJd-Wy4g3AwjsRnlJqTKagdlM,"['Sarasbuag one of the historic place. Museum is awesome. Temple is very beutiful surrounded by garden. Well maintained clean. Outside Temple compound wall lot of food stalls available. There are lot of games for children. Pay and park vehicle parking available nearby.', ""A Majestic Experience\nMy recent visit to Sarasbaug Ganpati, one of the Ashtavinayak temples, was a truly unforgettable experience. The temple's grandeur and intricate architecture left me in awe. The towering gopuram, adorned with colorful sculptures, is a sight to behold.\nThe main attraction, of course, is the majestic idol of Lord Ganesha. The idol is believed to be self-manifested and is known for its unique features. The temple's serene atmosphere and the positive energy it exudes make it a perfect place for spiritual seekers.\nThe temple's location amidst lush greenery adds to its charm. The surrounding area is well-maintained, with clean and comfortable facilities for visitors. The prasad offered at the temple is delicious and is believed to have healing properties.\nWhether you're a devout Hindu or simply looking for a peaceful and spiritual experience, Sarasbaug Ganpati is a must-visit. It's a place where you can truly connect with the divine and experience the beauty of Indian culture."", 'This is one of oldest & auspicious temple in pune.\nSituated in the center of Sarasbaug Garden surround by a lotus pond.\nWell maintained architecture & heritage value of the temple.\nYou can feel the old architecture & spiritual vibes.\nYou can place your shoes inside the shoestand for free inside the temple.\nEntry is free for all.\nThis is one of the cultural Jewel of pune.', 'Beautiful temple and beautiful idol of God Ganesha. The temple surrounding includes a lake, which has some fishes and many turtles in it. Loved the place.', 'Saras baug is a must visit place in your Pune Darshan list. A quiet, peaceful place in the admist of city chaos.\nThe Ganesh idol museum is nice to visit you have to buy tickets for the same.\nOverall a great place to visit.', 'Very nice place to be at. Serene and soothing vibes. Temple is clean, have antique and unique collections of Bappa in museum. Park is also in premise but that closes before 11am and reopens in evening for joggers. Quite a family Place, loved it.\nAlso pay visit to Mahalakshmi Temple, very next to it which closes at 12PM for cleanings...', 'Ganesh temple with garden and ganesh statue museum. Ganesha god makes wishes true. In year 1784 madhavrao peshwa buit small temple here.\nThere is beautiful museum with ticket of Inr 10 per person. Garden and lake is very beautiful. Place is full of variety if birds and municipality parking is available.', 'You get peace of mind and also it has historically things of peshwe so if new then do visit for once.']","['garden', 'ganpati', 'beautiful', 'peshwa', 'lake', 'evening', 'museum', 'stalls', 'tortoise', 'fish pond']"
8,ChIJ83ttOjnGwjsRWeipP0aGay8,"[""The Wagheshwar Temple is an incredibly peaceful and serene destination that should be on the list of any traveler visiting the area. The temple's calm environment offers the perfect space for reflection and devotion, making it a must-visit for those seeking tranquility. However, it’s important to note that visitors are required to dress modestly, as only formal and casual attire is accepted within the temple premises. Shorts and one-piece dresses are not permitted, so please ensure that your clothing is respectful and appropriate for the sacred space."", 'Here\'s a sample review for a temple:\n\n*Serene and Divine Experience*\n\nRating: 5/5\n\n""I recently visited [Temple Name] and was awestruck by its breathtaking architecture and tranquil atmosphere. The temple\'s intricate carvings, stunning sculptures, and vibrant paintings left me spellbound.\n\nThe priests and staff were warm and welcoming, explaining the temple\'s history and significance with great enthusiasm. The temple\'s cleanliness and maintenance were impressive.\n\nThe energy within the temple was palpable, and I felt a deep sense of peace and connection to the divine. The surrounding gardens and lack are clean and beautiful ❤️', 'Best experience ever. Very peaceful vibe we went at morning 7 am and we highly recommend you to go and visit this temple which is only opened at summers and rest 9 months the temple will remain closed because of the dam water level', ""Nice place to spend.  The temple is a serene place with one beautiful park inside the temple area and a big park in front of the temple. Its complete with a picturesque fountain and pond. A chowpatty next to the temple. It's perfect for those seeking peace and calm away from the hustle and bustle"", 'Wagheshwar Temple in Wagholi, Pune, is an ancient Hindu temple dedicated to Lord Shiva.\n\nLegends suggest it was built by the Pandavas during their exile.', 'Great place with historic importance. Now a lot of buildings are built around. The strange thing about this temple is that there is hindu cremation in the same premises.\n\nThe nandi statue is great and the ambience is well maintained. There is ample parking but careful for traffic.🙏🙇', 'This is one of the beautiful and well known temple of goddess Mahadeva located near wagholi called Wagheshwar temple,\n\nI would recommend to visit here in evening time around 6 PM so that you can experience the beuty of nature over there, as there is one dam with beautiful fountain.', 'Simple and sweet religious place at the main road near river.\nEasily accessible\nPeople enjoy boating in the river and spend quality time with their family and friends\nEatables are also available outside temple premises']","['lake', 'garden', 'area', 'boating', 'om namah shivay', 'premises', 'pandavas', 'shivaji maharaj', 'cremation', 'mahabharata']"
9,ChIJK3EUKQnAwjsR8sgehTShT5E,"['The temple is at the top of the hill accessible only with a hike. 100 steps to climb, with great scenic views, fresh air. There is a museum nearby with old artifacts.', 'This temple of Shree Devdeveshwar is very beautiful on top of Parvati Tekdi. The temple area on this hill is very peaceful and happy. This hill is full of green trees. So this looks very nice and attractive. Peshwa Nana Saheb built this temple on this hill. The design of this temple is very well done. There are 4 smaller temples of other gods in the four corners of the temple.🛕\n\nThe pind of Shankara in the temple is very nice. 😍🕉️\nThe top of the temple is beautifully carved.\nFrom the hill of this temple we can see a very nice view of Pune.\nAnd also see Peshwa museum on this hill.✨✨', ""Very peaceful and nice place. This is a template of lord shiva. This place belongs to parvati hills. This place has the most beautiful view of nature. This place has a beautiful temple of lord vitthal and rukhmini on the side of lord Shiva's temple. On the top of the hill you can also go to the museum. That museum is dedicated to the Shrimant Nanasaheb Peshwe. If you go as a tourist, you can also have lots of options of snacks. These hills are the best option for trackers. If you want to get fit physically you can go on a hill for running and walking everyday. Must visit this beautiful place located in pune."", 'This is Peshwa times ancient Lord Shiva temple located on Parvati Hill. This place gives holy vibes of Shiva. Temple is having clean precious area with beautiful view of old Pune city in front of it. Also few other temples are there in the same premises with Museum of ancient things of Peshwas. Temple remains open on all days.', 'Very nice old Temple, worth visiting.', 'Nice place to visit during days other than summer. In summers you can visit in early morning and evening. Temples of Lord Mahadev, Vishnu, Kartik and other gods are created by Peshwas. Peshwa musiem is also must visit place because it shows history of Maharashtra and Pune City . Entire view of Pune City is visible from here. Very calm and Beautiful place. Loved to visit here.', 'I just loved the view from the top of this mountain which is also called parvati hills\nTheir are many temples on this mountain\nNot so crowded you can visit every temple in no time\nAlso the view is so mesmerizing\nBest time is in evening to visit\nYou can see over all pune from the top', 'One of the most scenic places in Pune!\n\nThe temple itself is over 250 years old built by the Peshwas. The temple & the hill has got free hand from nature.\nLittle over 100 steps to climb & you will reach the hill top. There is also a museum you can visit. The garden here was under construction, the place will be even more beautiful once this is compete.\n\nDo visit by evening to experience a breathtaking view of the Sunset.']","['museum', 'hill', 'morning', 'peshwa', 'historical place', 'evening', 'climb', 'sunset', 'trekking', '1749']"
